=== svc_c0_0.st
  10 chr  8/10 hp 39/32 y1=128 | P1 scr=131 wld=275 | P2 scr=106 wld=250 | cam 144/144 | P1scr-P2scr= +25 P1wld-P2wld= +25
  11 chr  8/10 hp 39/32 y1=128 | P1 scr=128 wld=282 | P2 scr=111 wld=265 | cam 154/154 | P1scr-P2scr= +17 P1wld-P2wld= +17
  12 chr  8/10 hp 39/32 y1=128 | P1 scr=128 wld=283 | P2 scr=110 wld=265 | cam 155/155 | P1scr-P2scr= +18 P1wld-P2wld= +18
  13 chr  8/10 hp 39/32 y1=128 | P1 scr=128 wld=287 | P2 scr=106 wld=265 | cam 159/159 | P1scr-P2scr= +22 P1wld-P2wld= +22
  14 chr  8/10 hp 39/32 y1=128 | P1 scr=144 wld=304 | P2 scr=105 wld=265 | cam 160/160 | P1scr-P2scr= +39 P1wld-P2wld= +39
  15 chr  8/10 hp 38/32 y1=128 | P1 scr=143 wld=303 | P2 scr=105 wld=265 | cam 160/160 | P1scr-P2scr= +38 P1wld-P2wld= +38
  16 chr  8/10 hp 38/23 y1=128 | P1 scr=124 wld=284 | P2 scr= 95 wld=255 | cam 160/160 | P1scr-P2scr= +29 P1wld-P2wld= +29
  17 chr  8/10 hp 38/23 y1=128 | P1 scr=127 wld=287 | P2 scr= 78 wld=238 | cam 160/160 | P1scr-P2scr= +49 P1wld-P2wld= +49
  18 chr  8/10 hp 38/23 y1=128 | P1 scr=144 wld=304 | P2 scr= 86 wld=246 | cam 160/160 | P1scr-P2scr= +58 P1wld-P2wld= +58
  19 chr  8/10 hp 38/23 y1=128 | P1 scr=144 wld=304 | P2 scr= 86 wld=246 | cam 160/160 | P1scr-P2scr= +58 P1wld-P2wld= +58
  20 chr  8/10 hp 38/23 y1=128 | P1 scr=144 wld=304 | P2 scr= 86 wld=246 | cam 160/160 | P1scr-P2scr= +58 P1wld-P2wld= +58
=== svc_c2_5.st
  00 chr 17/10 hp 42/48 y1=128 | P1 scr= 32 wld= 94 | P2 scr= 90 wld=152 | cam  62/ 62 | P1scr-P2scr= -58 P1wld-P2wld= -58
  01 chr 17/10 hp 42/48 y1=128 | P1 scr= 75 wld=137 | P2 scr= 91 wld=153 | cam  62/ 62 | P1scr-P2scr= -16 P1wld-P2wld= -16
  02 chr 17/10 hp 42/48 y1=128 | P1 scr= 77 wld=139 | P2 scr= 95 wld=157 | cam  62/ 62 | P1scr-P2scr= -18 P1wld-P2wld= -18
  03 chr 17/10 hp 42/48 y1=128 | P1 scr= 72 wld=134 | P2 scr= 95 wld=157 | cam  62/ 62 | P1scr-P2scr= -23 P1wld-P2wld= -23
  04 chr 17/10 hp 40/48 y1=128 | P1 scr= 63 wld=125 | P2 scr= 95 wld=157 | cam  62/ 62 | P1scr-P2scr= -32 P1wld-P2wld= -32
  05 chr 17/10 hp 39/48 y1=128 | P1 scr= 61 wld=123 | P2 scr=101 wld=163 | cam  62/ 62 | P1scr-P2scr= -40 P1wld-P2wld= -40
  06 chr 17/10 hp 39/48 y1=128 | P1 scr= 67 wld=129 | P2 scr=112 wld=174 | cam  62/ 62 | P1scr-P2scr= -45 P1wld-P2wld= -45
  07 chr 17/10 hp 39/42 y1=128 | P1 scr= 67 wld=129 | P2 scr=128 wld=190 | cam  62/ 62 | P1scr-P2scr= -61 P1wld-P2wld= -61
  08 chr 17/10 hp 39/42 y1=128 | P1 scr= 47 wld=129 | P2 scr=130 wld=212 | cam  82/ 82 | P1scr-P2scr= -83 P1wld-P2wld= -83
  09 chr 17/10 hp 39/42 y1=128 | P1 scr= 45 wld=129 | P2 scr=128 wld=212 | cam  84/ 84 | P1scr-P2scr= -83 P1wld-P2wld= -83
  10 chr 17/10 hp 39/42 y1=128 | P1 scr= 45 wld=129 | P2 scr=128 wld=212 | cam  84/ 84 | P1scr-P2scr= -83 P1wld-P2wld= -83
